ac_number,constituency,district,region,reserved,latitude,longitude
1,Gummidipundi,Tiruvallur,Chennai Metro,GEN,13.08,80.27
2,Ponneri,Tiruvallur,Chennai Metro,SC,13.08,80.27
3,Tiruttani,Tiruvallur,Chennai Metro,GEN,13.08,80.27
4,Thiruvallur,Tiruvallur,Chennai Metro,GEN,13.08,80.27
5,Poonamallee,Tiruvallur,Chennai Metro,SC,13.08,80.27
6,Avadi,Tiruvallur,Chennai Metro,GEN,13.08,80.27
7,Maduravoyal,Tiruvallur,Chennai Metro,GEN,13.08,80.27
8,Ambattur,Tiruvallur,Chennai Metro,GEN,13.08,80.27
9,Madavaram,Tiruvallur,Chennai Metro,GEN,13.08,80.27
10,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN,13.08,80.27
11,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN,13.08,80.27
12,Perambur,Chennai,Chennai Metro,GEN,13.08,80.27
13,Kolathur,Chennai,Chennai Metro,GEN,13.08,80.27
14,Villivakkam,Chennai,Chennai Metro,GEN,13.08,80.27
15,Thiru-Vi-Ka-Nagar,Chennai,Chennai Metro,SC,13.08,80.27
16,Egmore,Chennai,Chennai Metro,SC,13.08,80.27
17,Royapuram,Chennai,Chennai Metro,GEN,13.08,80.27
18,Harbour,Chennai,Chennai Metro,GEN,13.08,80.27
19,Chepauk-Thiruvallikeni,Chennai,Chennai Metro,GEN,13.08,80.27
20,Thousand Lights,Chennai,Chennai Metro,GEN,13.08,80.27
21,Anna Nagar,Chennai,Chennai Metro,GEN,13.08,80.27
22,Virugampakkam,Chennai,Chennai Metro,GEN,13.08,80.27
23,Saidapet,Chennai,Chennai Metro,GEN,13.08,80.27
24,Theayagaraya Nagar,Chennai,Chennai Metro,GEN,13.08,80.27
25,Mylapore,Chennai,Chennai Metro,GEN,13.08,80.27
26,Velachery,Chennai,Chennai Metro,GEN,13.08,80.27
27,Shozhinganallur,Kanchipuram,Chennai Metro,GEN,13.08,80.27
28,Alandur,Kanchipuram,Chennai Metro,GEN,13.08,80.27
29,Sriperumbudur,Kanchipuram,Chennai Metro,SC,13.08,80.27
30,Pallavaram,Kanchipuram,Chennai Metro,GEN,13.08,80.27
31,Tambaram,Kanchipuram,Chennai Metro,GEN,13.08,80.27
32,Chengalpattu,Kanchipuram,Chennai Metro,GEN,13.08,80.27
33,Thiruporur,Kanchipuram,North,GEN,12.92,79.15
34,Cheyyur,Kanchipuram,North,SC,12.92,79.15
35,Maduranthakam,Kanchipuram,North,SC,12.92,79.15
36,Uthiramerur,Kanchipuram,North,GEN,12.92,79.15
37,Kancheepuram,Kanchipuram,North,GEN,12.92,79.15
38,Arakonam,Vellore,North,SC,12.92,79.15
39,Sholinghur,Vellore,North,GEN,12.92,79.15
40,Katpadi,Vellore,North,GEN,12.92,79.15
41,Ranipet,Vellore,North,GEN,12.92,79.15
42,Arcot,Vellore,North,GEN,12.92,79.15
