ac_number,constituency,Total Electors,Total Votes Polled,turnout %
1,Gummidipundi,254175,232630,91.52
2,Ponneri,251421,226873,90.24
3,Tiruttani,262500,239451,91.22
4,Thiruvallur,251111,226788,90.31
5,Poonamallee,368694,309019,83.81
6,Avadi,436522,346358,79.34
7,Maduravoyal,373321,294170,78.8
8,Ambattur,337081,260675,77.33
9,Madavaram,431866,362249,83.88
10,Thiruvottiyur,244931,207167,84.58
11,Dr. Radhakrishnan Nagar,199394,181348,90.95
12,Perambur,226345,204619,90.4
13,Kolathur,211833,184284,86.99
14,Villivakkam,163416,141650,86.68
15,Thiru-Vi-Ka-Nagar,181658,143940,79.24
16,Egmore,138796,119915,86.4
17,Royapuram,159672,127420,79.8
18,Harbour,120142,99634,82.93
19,Chepauk-Thiruvallikeni,166050,140834,84.81
20,Thousand Lights,157551,131905,83.72
21,Anna Nagar,188908,163432,86.51
22,Virugampakkam,200627,172888,86.17
23,Saidapet,204177,160496,78.61
24,Theayagaraya Nagar,158791,134147,84.48
25,Mylapore,199496,150800,75.59
26,Velachery,217208,185042,85.19
27,Shozhinganallur,,447295,#DIV/0!
28,Alandur,301127,261666,86.9
29,Sriperumbudur,381807,331155,86.73
30,Pallavaram,,283677,#DIV/0!
31,Tambaram,,279036,#DIV/0!
32,Chengalpattu,372839,319901,85.8
33,Thiruporur,227352,203263,89.4
34,Cheyyur,,187584,#DIV/0!
35,Maduranthakam,,198551,#DIV/0!
36,Uthiramerur,246248,228219,92.68
37,Kancheepuram,278841,246886,88.54
38,Arakonam,200773,182493,90.9
39,Sholinghur,257522,233969,90.85
40,Katpadi,228736,204355,89.34
41,Ranipet,248244,221259,89.13
42,Arcot,245319,226005,92.13
43,Vellore,214504,190573,88.84
44,Anaikattu,238715,217085,90.94
45,Kilvaithinankuppam,215304,190379,88.42
46,Gudiyatham,251588,229252,91.12
47,Vaniayambadi,243320,212624,87.38
48,Ambur,214898,195785,91.11
49,Jolarpet,237465,213582,89.94
50,Tiruppattur,227352,203263,89.4
51,Uthangarai,235451,205745,87.38
52,Bargur,239318,214129,89.47
53,Krishnagiri,267366,231023,86.41
54,Veppanahalli,246093,222792,90.53
55,Hosur,342989,277928,81.03
56,Thalli,237924,205968,86.57
57,Palacode,240322,225496,93.83
58,Pennagaram,248614,228907,92.07
59,Dharmapuri,260751,238742,91.56
60,Pappireddippatti,256640,236621,92.2
61,Harur,245692,220303,89.67
62,Chengam,268997,243703,90.6
63,Tiruvannamalai,249849,220066,88.08
64,Kilpennathur,240823,220055,91.38
65,Kalasapakkam,232847,214193,91.99
66,Polur,233774,212247,90.79
67,Arani,254963,230796,90.52
68,Cheyyar,239856,222933,92.94
69,Vandavasi,213474,191401,89.66
70,Gingee,242667,217641,89.69
71,Mailam,209016,189376,90.6
72,Tindivanam,219256,196360,89.56
73,Vanur,209824,192680,91.83
74,Villupuram,245899,215891,87.8
75,Vikravandi,228995,209859,91.64
76,Tirukkoyilur,243105,217762,89.58
77,Ulundurpet,300699,269951,89.77
78,Rishivandiam,273571,245006,89.56
79,Sankarapuram,265951,235780,88.66
80,Kallakurichi,281582,249626,88.65
81,Gangavalli,218375,196881,90.16
82,Attur,228219,208562,91.39
83,Yercaud,272937,253743,92.97
84,Omalur,294863,271493,92.07
85,Mettur,255869,231663,90.54
86,Edapadi,276472,258490,93.5
87,Sankari,260590,244023,93.64
88,Salem (West),258040,234789,90.99
89,Salem (North),238685,210877,88.35
90,Salem (South),226880,208117,91.73
91,Veerapandi,250504,236141,94.27
92,Rasipuram,222252,204680,92.09
93,Sendamangalam,229398,209816,91.46
94,Namakkal,237836,212283,89.26
95,Paramathi-Velur,205147,189019,92.14
96,Tiruchengode,209072,191217,91.46
97,Kumarapalayam,220048,205359,93.32
98,Erode (East),179592,162573,90.52
99,Erode (West),250217,221655,88.59
100,Modakurichi,207697,190905,91.92
101,Dharapuram,222434,200101,89.96
102,Kangayam,219586,203782,92.8
103,Perundurai,214451,201079,93.76
104,Bhavani,223221,208464,93.39
105,Anthiyur,207413,185970,89.66
106,Gobichettipalayam,239198,219988,91.97
107,Bhavanisagar,237629,214838,90.41
108,Udhagamandalam,188968,149032,78.87
109,Gudalur,185460,151412,81.64
110,Coonoor,177978,141719,79.63
111,Mettupalayam,282235,244535,86.64
112,Avanashi,253372,231948,91.54
113,Tiruppur (North),315863,263576,83.45
114,Tiruppur (South),197104,179929,91.29
115,Palladam,329875,301323,91.34
116,Sulur,307699,273735,88.96
117,Kavundampalayam,422240,364242,86.26
118,Coimbatore North,296994,226267,76.19
119,Thondamuthur,293379,258823,88.22
120,Coimbatore South,188912,156709,82.95
121,Singanallur,269997,221138,81.9
122,Kinathukadavu,305919,268432,87.75
123,Pollachi,204008,181360,88.9
124,Valparai,173659,150529,86.68
125,Udumalpet,231009,203937,88.28
126,Madathukulam,214837,188375,87.68
127,Palani,239795,208707,87.04
128,Oddanchatram,220238,201705,91.59
129,Athoor,261843,237388,90.66
130,Nilakottai,221094,197805,89.47
131,Natham,261152,239317,91.64
132,Dindigul,241926,212118,87.68
133,Vedasandur,243774,226683,92.99
134,Aravakurichi,195538,181165,92.65
135,Karur,230068,217276,94.44
136,Krishnarayapuram,203090,189634,93.37
137,Kulithalai,223376,209285,93.69
138,Manapparai,268165,241445,90.04
139,Srirangam,287214,254056,88.46
140,Tiruchirapalli (West),238980,196420,82.19
141,Tiruchirapalli (East),220240,182730,82.97
142,Thiruverambur,259701,213792,82.32
143,Lalgudi,212403,185489,87.33
144,Manachanallur,236632,209935,88.72
145,Musiri,214146,189230,88.36
146,Thuraiyur,210753,184621,87.6
147,Perambalur,290731,253860,87.32
148,Kunnam,268155,230664,86.02
149,Ariyalur,262942,236042,89.77
150,Jayankondam,262942,228895,87.05
151,Tittakudi,208984,175947,84.19
152,Vriddhachalam,240783,209448,86.99
153,Neyveli,191271,169049,88.38
154,Panruti,241767,211015,87.28
155,Cuddalore,223149,190656,85.44
156,Kurinjipadi,238189,214326,89.98
157,Bhuvanagiri,233259,207463,88.94
158,Chidambaram,231236,197092,85.23
159,Kattumannarkoil,226333,188220,83.16
160,Sirkali,241432,200546,83.07
161,Mayiladuthurai,234622,188691,80.42
162,Poompuhar,259332,219814,84.76
163,Nagapattinam,174683,151512,86.74
164,Kilvelur,170558,151750,88.97
165,Vedaranyam,187439,162476,86.68
166,Thiruthuraipundi,226940,191133,84.22
167,Mannargudi,234554,194169,82.78
168,Thiruvarur,260145,218012,83.8
169,Nannilam,267576,231592,86.55
170,Thiruvidamarudur,257014,209468,81.5
171,Kumbakonam,254383,208378,81.92
172,Papanasam,256617,207867,81
173,Thiruvaiyaru,258597,222215,85.93
174,Thanjavur,252841,199040,78.72
175,Orathanad,233758,195475,83.62
176,Pattukkottai,242451,184152,75.95
177,Peravurani,213974,176446,82.46
178,Gandharvakottai,196104,167618,85.47
179,Viralimalai,225159,203999,90.6
180,Pudukkottai,226009,190615,84.34
181,Thirumayam,220622,182792,82.85
182,Alangudi,212139,180483,85.08
183,Arantangi,229834,182730,79.51
184,Karaikudi,305925,229625,75.06
185,Tiruppattur,275904,216016,78.29
186,Sivaganga,278124,214716,77.2
187,Manamadurai,259382,209091,80.61
188,Melur,230061,190822,82.94
189,Madurai East,336738,272000,80.77
190,Sholavandan,215348,189224,87.87
191,Madurai North,180003,141598,78.66
192,Madurai South,180003,141598,78.66
193,Madurai Central,199725,148709,74.46
194,Madurai West,275689,216866,78.66
195,Thiruparankundram,311705,255946,82.11
196,Thirumangalam,262948,231544,88.06
197,Usilampatti,267969,224679,83.85
198,Andipatti,257997,217699,84.38
199,Periyakulam,266570,211514,79.35
200,Bodinayakanur,264386,221116,83.63
201,Cumbum,257323,211077,82.03
202,Rajapalayam,214646,183212,85.36
203,Srivilliputhur,224903,193627,86.09
204,Sattur,230149,199038,86.48
205,Sivakasi,228465,193594,84.74
206,Virudhunagar,200938,168517,83.87
207,Aruppukottai,208168,178698,85.84
208,Tiruchuli,205681,181638,88.31
209,Paramakudi,235109,190014,80.82
210,Tiruvadanai,284130,220448,77.59
211,Ramanathapuram,312463,237696,76.07
212,Mudukulathur,299702,231373,77.2
213,Vilathikulam,205465,175030,85.19
214,Thoothukkudi,250803,204992,81.73
215,Tiruchendur,233061,186322,79.95
216,Srivaikuntam,214630,176594,82.28
217,Ottapidaram,244686,196554,80.33
218,Kovilpatti,242359,194497,80.25
219,Sankarankovil,239035,197670,82.7
220,Vasudevanallur,229179,190256,83.02
221,Kadayanallur,269723,222360,82.44
222,Tenkasi,282002,235213,83.41
223,Alangulam,255730,221103,86.46
224,Tirunelveli,276296,219060,79.28
225,Ambasamudram,228246,191613,83.95
226,Palayamcottai,257498,181061,70.32
227,Nanguneri,257480,209548,81.38
228,Radhapuram,247310,200446,81.05
229,Kanniyakumari,,239978,#DIV/0!
230,Nagercoil,,196545,#DIV/0!
231,Colachel,,199711,#DIV/0!
232,Padmanabhapuram,,181647,#DIV/0!
233,Vilavancode,,175453,#DIV/0!
234,Killiyoor,,178628,#DIV/0!
