constituency,ac_number,candidate,party,votes,turnout,reserved,region
Gummidipoondi,1,S.VIJAYAKUMAR,TVK,94320,91.52,GEN,Chennai Metro
Gummidipoondi,1,SUDHAKAR.V,AIADMK,66375,91.52,GEN,Chennai Metro
Gummidipoondi,1,T.J.GOVINDARAJAN,DMK,62492,91.52,GEN,Chennai Metro
Gummidipoondi,1,"R.SRIDAR. B.L.,",NTK,4756,91.52,GEN,Chennai Metro
Gummidipoondi,1,NOTA,NOTA,937,91.52,GEN,Chennai Metro
Gummidipoondi,1,M.JAGADEESAN,Bahujan Samaj Party,697,91.52,GEN,Chennai Metro
Gummidipoondi,1,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,599,91.52,GEN,Chennai Metro
Gummidipoondi,1,G.RANJITH B.SC.L.L.B,IND,503,91.52,GEN,Chennai Metro
Gummidipoondi,1,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,336,91.52,GEN,Chennai Metro
Gummidipoondi,1,D.SUDHAKAR,IND,321,91.52,GEN,Chennai Metro
Gummidipoondi,1,M.KUMARAN,IND,260,91.52,GEN,Chennai Metro
Gummidipoondi,1,D.DINESH,IND,222,91.52,GEN,Chennai Metro
Gummidipoondi,1,V.SUDHAKAR,IND,217,91.52,GEN,Chennai Metro
Gummidipoondi,1,T.GOVINDAN,IND,206,91.52,GEN,Chennai Metro
Gummidipoondi,1,GOPAL.K,IND,177,91.52,GEN,Chennai Metro
Gummidipoondi,1,A.H. SIVA GANESH,IND,104,91.52,GEN,Chennai Metro
Ponneri,2,DR.RAVI.M.S,TVK,110439,90.24,SC,Chennai Metro
Ponneri,2,DURAI CHANDRASEKAR,INC,54671,90.24,SC,Chennai Metro
Ponneri,2,BALARAMAN.P,AIADMK,51468,90.24,SC,Chennai Metro
Ponneri,2,RAJATHI.M,NTK,6676,90.24,SC,Chennai Metro
Ponneri,2,NOTA,NOTA,865,90.24,SC,Chennai Metro
Ponneri,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,615,90.24,SC,Chennai Metro
Ponneri,2,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,371,90.24,SC,Chennai Metro
Ponneri,2,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,366,90.24,SC,Chennai Metro
Ponneri,2,RAJA.S,Vanchit Bahujan Aaghadi,299,90.24,SC,Chennai Metro
Ponneri,2,RAJASEKAR.J,IND,289,90.24,SC,Chennai Metro
Ponneri,2,NAGAIYAN.G,IND,232,90.24,SC,Chennai Metro
Ponneri,2,VENKATESAN.S,IND,203,90.24,SC,Chennai Metro
Ponneri,2,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,166,90.24,SC,Chennai Metro
Ponneri,2,BARATHIRAJA.K,IND,159,90.24,SC,Chennai Metro
Tiruttani,3,G.HARI,AIADMK,89169,91.22,GEN,Chennai Metro
Tiruttani,3,M.SATHYA KUMAR,TVK,83376,91.22,GEN,Chennai Metro
Tiruttani,3,D.KRISHNAMURTHY,DMDK,54863,91.22,GEN,Chennai Metro
Tiruttani,3,CHANDRAN .S.S,NTK,6704,91.22,GEN,Chennai Metro
Tiruttani,3,NOTA,NOTA,1210,91.22,GEN,Chennai Metro
Tiruttani,3,KRISHNAMOORTHY.M,IND,946,91.22,GEN,Chennai Metro
Tiruttani,3,JAMBU.B,IND,628,91.22,GEN,Chennai Metro
Tiruttani,3,MUTHURAJ.G,Bahujan Samaj Party,470,91.22,GEN,Chennai Metro
Tiruttani,3,KRISHNAMOORTHY.D,IND,467,91.22,GEN,Chennai Metro
Tiruttani,3,BALAJI.A,Thakkam Katchi,272,91.22,GEN,Chennai Metro
Tiruttani,3,KRISHNAMOORTHY.K,IND,210,91.22,GEN,Chennai Metro
Tiruttani,3,DR.A.V.NARENDRAN,IND,198,91.22,GEN,Chennai Metro
Tiruttani,3,SHETTU.S,IND,153,91.22,GEN,Chennai Metro
Tiruttani,3,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,132,91.22,GEN,Chennai Metro
Thiruvallur,4,DR. T. ARUNKUMAR,TVK,92190,90.31,GEN,Chennai Metro
Thiruvallur,4,V.G. RAAJENDRAN,DMK,67430,90.31,GEN,Chennai Metro
Thiruvallur,4,BE  VEE RAMANAH,AIADMK,56562,90.31,GEN,Chennai Metro
Thiruvallur,4,K. SENTHILKUMAR,NTK,5513,90.31,GEN,Chennai Metro
Thiruvallur,4,NOTA,NOTA,1132,90.31,GEN,Chennai Metro
Thiruvallur,4,S. RAJENDRAN,IND,868,90.31,GEN,Chennai Metro
Thiruvallur,4,B. RAJESH KUMAR,Bahujan Samaj Party,674,90.31,GEN,Chennai Metro
Thiruvallur,4,E. MANI,Republican Party of India (Athawale),653,90.31,GEN,Chennai Metro
Thiruvallur,4,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam,354,90.31,GEN,Chennai Metro
Thiruvallur,4,G. RAJENDIRAN,IND,227,90.31,GEN,Chennai Metro
Thiruvallur,4,E.KOTHANDAN,IND,203,90.31,GEN,Chennai Metro
Thiruvallur,4,N. BALAKRISHNAN,IND,186,90.31,GEN,Chennai Metro
Thiruvallur,4,N. NAGENDRABABU,IND,184,90.31,GEN,Chennai Metro
Thiruvallur,4,E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,134,90.31,GEN,Chennai Metro
Thiruvallur,4,R. RAMANAN,IND,118,90.31,GEN,Chennai Metro
Poonamallee,5,PRAKASAM.R,TVK,161309,83.81,SC,Chennai Metro
Poonamallee,5,KRISHNASWAMY.A,DMK,88569,83.81,SC,Chennai Metro
Poonamallee,5,ELUMALAI.T.A,AMMK,43280,83.81,SC,Chennai Metro
Poonamallee,5,MEKALA.J,NTK,11697,83.81,SC,Chennai Metro
Poonamallee,5,NOTA,NOTA,1571,83.81,SC,Chennai Metro
Poonamallee,5,RAJASEKARAN.K,Bahujan Samaj Party,860,83.81,SC,Chennai Metro
Poonamallee,5,RAVIKUMAR.M,IND,355,83.81,SC,Chennai Metro
Poonamallee,5,DR.JAYANTHI.R,IND,304,83.81,SC,Chennai Metro
Poonamallee,5,SIVAKUMAR.S,IND,297,83.81,SC,Chennai Metro
Poonamallee,5,VELU.S,IND,264,83.81,SC,Chennai Metro
Poonamallee,5,PURUSHOTHAMAN.B,IND,255,83.81,SC,Chennai Metro
Poonamallee,5,DHASARATHAN.R,IND,133,83.81,SC,Chennai Metro
Avadi,6,R.RAMESH KUMAR,TVK,180384,79.34,GEN,Chennai Metro
Avadi,6,S.M.NASAR,DMK,104073,79.34,GEN,Chennai Metro
Avadi,6,RAJASIMHA MAHENDRA,BJP,39605,79.34,GEN,Chennai Metro
Avadi,6,PUNITHA SHANMUGAM,NTK,16335,79.34,GEN,Chennai Metro
Avadi,6,NOTA,NOTA,1533,79.34,GEN,Chennai Metro
Avadi,6,S. CHARLES,Bahujan Samaj Party,761,79.34,GEN,Chennai Metro
Avadi,6,R. BAKTHAVATCHALAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,627,79.34,GEN,Chennai Metro
Avadi,6,R.Edmund Jayendren,Tamizhaga Vaazhvurimai Katchi,478,79.34,GEN,Chennai Metro
Avadi,6,R. KUMAR,IND,308,79.34,GEN,Chennai Metro
Avadi,6,P. CHELLAPANDIAN,IND,255,79.34,GEN,Chennai Metro
Avadi,6,C.S. Karnan,Anti Corruption Dynamic Party,224,79.34,GEN,Chennai Metro
Avadi,6,G.D. ARUNKUMAR,IND,205,79.34,GEN,Chennai Metro
Avadi,6,R. MANIKANDAN,IND,195,79.34,GEN,Chennai Metro
Avadi,6,P.JAYAKUMAR,Samaniya Makkal Nala Katchi,177,79.34,GEN,Chennai Metro
Avadi,6,S. SENTHILKUMAR,IND,167,79.34,GEN,Chennai Metro
Avadi,6,SENTHILKUMAR. S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,156,79.34,GEN,Chennai Metro
Avadi,6,K. BALAKRISHNAN,IND,141,79.34,GEN,Chennai Metro
Avadi,6,M. ERAJASIMMAN,IND,105,79.34,GEN,Chennai Metro
Avadi,6,RAJASEKAR. R,IND,105,79.34,GEN,Chennai Metro
Avadi,6,UNIESH RAJ. M,IND,94,79.34,GEN,Chennai Metro
Avadi,6,K. ANNAMALAI,IND,77,79.34,GEN,Chennai Metro
Maduravoyal,7,RHEVANTH CHARAN,TVK,141725,78.8,GEN,Chennai Metro
Maduravoyal,7,GANAPATHY. K,DMK,80216,78.8,GEN,Chennai Metro
Maduravoyal,7,P. BENJAMIN,AIADMK,54705,78.8,GEN,Chennai Metro
Maduravoyal,7,REVATHI L,NTK,13024,78.8,GEN,Chennai Metro
Maduravoyal,7,NOTA,NOTA,1462,78.8,GEN,Chennai Metro
Maduravoyal,7,R. SIVA,IND,322,78.8,GEN,Chennai Metro
Maduravoyal,7,MURALI. S,Naam Indiar Party,300,78.8,GEN,Chennai Metro
Maduravoyal,7,AGNI SELVARAJU. J,Naadaalum Makkal Katchi,266,78.8,GEN,Chennai Metro
Maduravoyal,7,J. VENKATESAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,233,78.8,GEN,Chennai Metro
Maduravoyal,7,S. BENJAMIN MOSES,IND,207,78.8,GEN,Chennai Metro
Maduravoyal,7,PONMUTHU RAMESH,IND,202,78.8,GEN,Chennai Metro
Maduravoyal,7,K. VENKATESAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,171,78.8,GEN,Chennai Metro
Maduravoyal,7,N.A. MANI,IND,157,78.8,GEN,Chennai Metro
Maduravoyal,7,V. KAMALA KANNAN,IND,119,78.8,GEN,Chennai Metro
Maduravoyal,7,K. GANAPATHY,IND,99,78.8,GEN,Chennai Metro
Maduravoyal,7,R. YUVARAJ,IND,84,78.8,GEN,Chennai Metro
Maduravoyal,7,VIGNESH NANDAGOPAL,IND,83,78.8,GEN,Chennai Metro
Maduravoyal,7,SARAVANAN KUMAR,IND,78,78.8,GEN,Chennai Metro
Maduravoyal,7,MUTHURAMAN. S,Anna MGR Dravida Makkal Kalgam,71,78.8,GEN,Chennai Metro
Maduravoyal,7,D. ANANDAN,IND,67,78.8,GEN,Chennai Metro
Maduravoyal,7,M. BALASUBRAMANIAN,IND,67,78.8,GEN,Chennai Metro
Maduravoyal,7,M. JAMES,IND,34,78.8,GEN,Chennai Metro
Ambattur,8,BALAMURUGAN.G,TVK,133339,77.33,GEN,Chennai Metro
Ambattur,8,DR A.P. POORNIMA,DMK,74558,77.33,GEN,Chennai Metro
Ambattur,8,K.N. SEKAR,PMK,35997,77.33,GEN,Chennai Metro
Ambattur,8,SILAMBARASAN,NTK,11088,77.33,GEN,Chennai Metro
Ambattur,8,NOTA,NOTA,1490,77.33,GEN,Chennai Metro
Ambattur,8,A.KALYANASUNDARAM,Nationalist Janshakti Party,588,77.33,GEN,Chennai Metro
Ambattur,8,R.BALAMURUGAN,IND,493,77.33,GEN,Chennai Metro
Ambattur,8,DR. J.SAILAS,Bahujan Samaj Party,443,77.33,GEN,Chennai Metro
Ambattur,8,DR. S.PRAVEEN,IND,308,77.33,GEN,Chennai Metro
Ambattur,8,V. RAMKUMAR,India Suyarajya Party,224,77.33,GEN,Chennai Metro
Ambattur,8,S. MADHAVAN,IND,179,77.33,GEN,Chennai Metro
Ambattur,8,M.S. ARUMUGAM,IND,135,77.33,GEN,Chennai Metro
Ambattur,8,RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,127,77.33,GEN,Chennai Metro
Ambattur,8,K. SEKAR,IND,127,77.33,GEN,Chennai Metro
Ambattur,8,S. JANARTHANAN,IND,126,77.33,GEN,Chennai Metro
Ambattur,8,G.P. SEKAR,IND,103,77.33,GEN,Chennai Metro
Ambattur,8,PALANI,IND,103,77.33,GEN,Chennai Metro
Ambattur,8,D.K.MESHACK KIRUBAKARAN,IND,102,77.33,GEN,Chennai Metro
Ambattur,8,JOTHI.M,IND,89,77.33,GEN,Chennai Metro
